province,prov_id,cons_id,cons_no,zones,registered_voters,ref_turnout,ref_turnout_pct,ref_valid,ref_valid_pct,ref_invalid,ref_invalid_pct,yes_votes,yes_pct,no_votes,no_pct,abstained,abstained_pct,counted_stations,count_pct
ชลบุรี,CBI,CBI_4,4,"อำเภอบ้านบึง (ยกเว้นมาบไผ่ หนองซ้ำซาก หนองบอนแดง หนองชาก), อำเภอหนองใหญ่, อำเภอบ่อทอง",120269,86427,71.86,83769,96.92,2658,3.08,48664,58.09,27272,32.56,7833,9.35,171,94.48
ชลบุรี,CBI,CBI_5,5,"อำเภอพนัสนิคม, อำเภอเกาะจันทร์",134984,94580,70.07,91991,97.26,2589,2.74,50221,54.59,32080,34.87,9690,10.53,204,94.88
ชลบุรี,CBI,CBI_6,6,"อำเภอศรีราชา (ยกเว้นหนองขาม เขาคันทรง บ่อวิน บึง), อำเภอเกาะสีชัง",138570,103284,74.54,101470,98.24,1814,1.76,68839,67.84,26383,26.0,6248,6.16,166,94.86
ชลบุรี,CBI,CBI_7,7,อำเภอศรีราชา (ยกเว้นบางพระ สุรศักดิ์ ทุ่งสุขลา ศรีราชา),127875,92236,72.13,90740,98.38,1496,1.62,66614,73.41,18592,20.49,5534,6.1,152,94.41
ชลบุรี,CBI,CBI_8,8,อำเภอบางละมุง (ยกเว้นหนองปรือ),140456,84715,60.31,82912,97.87,1803,2.13,54737,66.02,21246,25.62,6929,8.36,170,94.97
ชลบุรี,CBI,CBI_9,9,อำเภอบางละมุง (เฉพาะหนองปรือ),122755,64914,52.88,63676,98.09,1238,1.91,43101,67.69,15726,24.7,4849,7.62,154,94.48
ชลบุรี,CBI,CBI_10,10,อำเภอสัตหีบ,134689,81574,60.56,80127,98.23,1447,1.77,47761,59.61,25453,31.77,6913,8.63,166,94.86
ระยอง,RYG,RYG_1,1,"อำเภอเมืองระยอง (เฉพาะบ้านแลง นาตาขวัญ เนินพระ น้ำคอก ทับมา ห้วยโป่ง มาบตาพุด), อำเภอบ้านค่าย (เฉพาะตาขัน), อำเภอนิคมพัฒนา (เฉพาะมาบข่า)",121744,89162,73.24,87734,98.4,1428,1.6,58674,66.88,22530,25.68,6530,7.44,168,94.92
ระยอง,RYG,RYG_2,2,อำเภอเมืองระยอง (ยกเว้นบ้านแลง นาตาขวัญ น้ำคอก ทับมา ห้วยโป่ง มาบตาพุด),116647,72014,61.74,70736,98.23,1278,1.77,42793,60.5,22034,31.15,5909,8.35,189,94.97
ระยอง,RYG,RYG_3,3,"อำเภอแกลง, อำเภอเขาชะเมา",124374,79217,63.69,77492,97.82,1725,2.18,43975,56.75,24362,31.44,9155,11.81,230,94.65
ระยอง,RYG,RYG_4,4,"อำเภอวังจันทร์, อำเภอบ้านค่าย (ยกเว้นตาขัน), อำเภอปลวกแดง (ยกเว้นแม่น้ำคู้)",129476,51909,40.09,50600,97.48,1309,2.52,29897,59.08,15381,30.4,5322,10.52,114,58.76
ระยอง,RYG,RYG_5,5,"อำเภอนิคมพัฒนา (ยกเว้นมาบข่า), อำเภอบ้านฉาง, อำเภอปลวกแดง (เฉพาะแม่น้ำคู้)",129567,91127,70.33,89401,98.11,1726,1.89,62519,69.93,20023,22.4,6859,7.67,167,94.89
จันทบุรี,CTI,CTI_1,1,"อำเภอเมืองจันทบุรี, อำเภอมะขาม (ยกเว้นปัถวี ฉมัน), อำเภอแหลมสิงห์",148028,102849,69.48,100657,97.87,2192,2.13,55137,54.78,35519,35.29,10001,9.94,278,94.88
จันทบุรี,CTI,CTI_2,2,"อำเภอท่าใหม่, อำเภอแก่งหางแมว, อำเภอนายายอาม, อำเภอเขาคิชฌกูฏ",142477,94942,66.64,92577,97.51,2365,2.49,48951,52.88,32107,34.68,11519,12.44,271,94.76
จันทบุรี,CTI,CTI_3,3,"อำเภอขลุง, อำเภอโป่งน้ำร้อน, อำเภอมะขาม (เฉพาะปัถวี ฉมัน), อำเภอสอยดาว",142287,93040,65.39,90451,97.22,2589,2.78,46952,51.91,32408,35.83,11091,12.26,279,94.9
ตราด,TRT,TRT_1,1,"อำเภอเมืองตราด, อำเภอคลองใหญ่, อำเภอเขาสมิง, อำเภอบ่อไร่, อำเภอแหลมงอบ, อำเภอเกาะกูด, อำเภอเกาะช้าง",176920,113261,64.02,110400,97.47,2861,2.53,54279,49.17,44523,40.33,11598,10.51,327,94.78
ฉะเชิงเทรา,CCO,CCO_1,1,"อำเภอเมืองฉะเชิงเทรา, อำเภอบ้านโพธิ์ (เฉพาะเกาะไร่ คลองประเวศ เทพราช บางกรูด)",146573,106958,72.97,104949,98.12,2009,1.88,63269,60.29,32104,30.59,9576,9.12,242,94.9
ฉะเชิงเทรา,CCO,CCO_2,2,"อำเภอบางคล้า, อำเภอบางน้ำเปรี้ยว, อำเภอพนมสารคาม (เฉพาะพนมสารคาม หนองยาว), อำเภอราชสาส์น, อำเภอคลองเขื่อน",145059,111597,76.93,108411,97.15,3186,2.85,60492,55.8,37115,34.24,10804,9.97,262,94.93
